cement,slag,silica_fume,limestone_powder,quartz_powder,fly_ash,nano_silica,aggregate,water,fiber,superplasticizer,temperature,age,compressive_strength
741,0,185,194.25,64.75,0,0,815,185,156,9,30,3,116
810,0,220,0,0,90,0,1002,163,156,40,23,7,116
375,375,144,0,0,200,0,990,182,0,30,20,28,116
933,0,233,0,0,0,0,1026,168,0,37.6,23,28,116.2
720,0,80,0,0,0,0,1422.9,160,0,29.6,23,14,116.2
825.8,0,192.3,486.2,0,0,0,444.4,201.4,0,10.5,23,3,116.31
720,0,220,0,0,180,0,998,163,156,40,23,7,116.5
845.5,0,44.5,0,0,0,0,1231,178,0,30.2,21,28,116.6
796,0,0,0,0,0,4,1461.1,160,0,25.2,23,28,116.8
741,0,185,0,259,0,0,815,185,156,9,30,3,117
845.5,0,44.5,0,0,0,0,1231,178,0,30.2,21,28,117.2
712,0,178,0,0,0,0,1231,178,0,30.2,21,56,117.2
623,0,0,0,0,267,0,1231,178,0,30.2,21,56,117.2
594.2,0,0,265.3,0,0,24.8,1282.3,176.9,156,44.2,21,7,117.22
712,0,0,0,0,178,0,1231,178,0,30.2,21,90,117.5
432,216,216,0,0,216,0,923,177,156,32.4,20,7,117.6
842,0,216,0,0,0,21.6,1079,177,0,21.6,23,28,117.62
841.6,0,215.8,0,0,0,21.6,1079,177,0,21.6,20,90,117.8
756.5,0,133.5,0,0,0,0,1231,178,0,30.2,21,28,118
741,0,185,64.75,194.25,0,0,815,185,156,9,30,3,118
784,0,157,235,0,0,0,823,171,0,39.66,23,14,118.03
890,0,0,0,0,0,0,1231,178,0,30.2,21,90,118.1
647,216,216,0,0,0,0,923,177,156,32.37,20,7,118.1
960,0,240,0,0,0,0,786.4,234,19.5,45,23,7,118.1
716,0,80,0,0,0,4,1411.6,160,0,33.6,23,14,118.5
801,0,89,0,0,0,0,1231,178,0,30.2,21,28,118.6
712,0,178,0,0,0,0,1231,178,0,30.2,21,90,118.6
647,0,216,0,0,216,0,923,177,156,32.37,20,7,118.7
829,0,216,0,0,0,34.5,923,177,156,32.39,20,7,118.7
680,0,120,0,0,0,0,1462,160,0,9.59,23,28,118.7
534,0,0,0,0,356,0,1231,178,0,30.2,21,90,119.1
776,0,0,0,0,0,24,1409.7,160,0,43.2,23,28,119.1
696,0,80,0,0,0,24,1359.2,160,0,52,23,14,119.2
623,0,0,0,0,267,0,1231,178,0,30.2,21,90,119.3
800,0,0,0,0,0,0,1471.3,160,0,21.6,23,56,119.3
960,0,240,0,0,0,0,787.1,234,19.5,45,23,7,119.3
921.5,0,255,0,0,0,28.5,873,189,0,31,23,7,119.4
863,0,216,0,0,0,0,1079,177,0,21.6,23,28,119.41
667.5,0,44.5,0,0,178,0,1231,178,0,30.2,21,90,119.7
863.2,0,215.8,0,0,0,0,1079,177,0,21.6,20,90,119.8
845.5,0,44.5,0,0,0,0,1231,178,0,30.2,21,56,120.1
756.5,0,133.5,0,0,0,0,1231,178,0,30.2,21,56,120.1
