cement,slag,silica_fume,limestone_powder,quartz_powder,fly_ash,nano_silica,aggregate,water,fiber,superplasticizer,temperature,age
777.0,0.0,155.0,233.0,0.0,0.0,0.0,816.0,169.0,78.0,40.64,23,3
541.75,0.0,0.0,0.0,0.0,0.0,8.25,1812.0,137.5,0.0,12.65,21,3
800.0,0.0,100.0,0.0,200.0,0.0,0.0,980.0,200.0,0.0,9.6,20,90
541.75,0.0,0.0,0.0,0.0,0.0,8.25,1812.0,137.5,0.0,12.65,21,90
1151.11,0.0,211.89,0.0,0.0,0.0,0.0,1231.0,272.6,0.0,46.2,90,28
796.0,0.0,0.0,0.0,0.0,0.0,4.0,1461.1,160.0,0.0,25.2,23,14
796.0,0.0,0.0,0.0,0.0,0.0,4.0,1461.1,160.0,0.0,25.2,23,7
620.2,0.0,114.2,0.0,0.0,164.9,0.0,1277.5,161.9,156.0,36.0,20,1
784.0,0.0,261.0,0.0,0.0,0.0,0.0,1045.0,171.0,234.0,20.9,20,90
741.0,0.0,185.0,194.25,64.75,0.0,0.0,815.0,185.0,156.0,9.0,30,90
630.0,180.0,90.0,0.0,0.0,0.0,0.0,1539.0,162.0,0.0,18.0,20,180
874.9,0.0,43.7,0.0,0.0,0.0,0.0,1273.4,202.1,117.0,45.9,21,28
800.0,0.0,100.0,0.0,200.0,0.0,0.0,980.0,200.0,0.0,9.6,20,28
801.0,0.0,89.0,0.0,0.0,0.0,0.0,1231.0,178.0,0.0,30.2,21,1
401.0,0.0,124.0,0.0,397.0,328.0,0.0,833.0,170.0,156.0,30.0,23,28
612.4,0.0,43.7,262.5,0.0,0.0,0.0,1273.4,202.1,39.0,45.9,21,7
541.75,0.0,0.0,0.0,0.0,0.0,8.25,1812.0,137.5,0.0,12.65,21,28
796.0,0.0,0.0,0.0,0.0,0.0,4.0,1461.1,160.0,0.0,25.2,23,90
863.0,0.0,216.0,0.0,0.0,0.0,0.0,1079.0,177.0,0.0,21.6,23,7
800.0,0.0,0.0,0.0,0.0,0.0,0.0,1471.3,160.0,0.0,21.6,23,28
741.0,0.0,185.0,194.25,64.75,0.0,0.0,815.0,185.0,156.0,9.0,30,7
716.0,0.0,80.0,0.0,0.0,0.0,4.0,1411.6,160.0,0.0,33.6,23,1
960.0,0.0,240.0,0.0,0.0,0.0,0.0,786.4,234.0,19.5,45.0,23,90
700.0,0.0,50.0,0.0,0.0,150.0,0.0,1104.0,180.0,78.0,30.0,20,28
700.0,0.0,50.0,0.0,0.0,150.0,0.0,1104.0,180.0,0.0,30.0,20,28
720.0,0.0,180.0,0.0,0.0,0.0,0.0,1310.4,180.0,0.0,9.0,23,28
890.0,0.0,0.0,0.0,0.0,0.0,0.0,1231.0,178.0,0.0,30.2,21,1
960.0,0.0,240.0,0.0,0.0,0.0,0.0,787.1,234.0,19.5,45.0,23,28
630.0,180.0,90.0,0.0,0.0,0.0,0.0,1539.0,144.0,0.0,18.0,20,28
720.0,0.0,180.0,0.0,0.0,0.0,0.0,1303.2,180.0,0.0,10.8,23,28
810.0,0.0,90.0,0.0,0.0,0.0,0.0,1539.0,162.0,0.0,18.0,20,90
541.75,0.0,0.0,0.0,0.0,0.0,8.25,1748.0,165.0,0.0,8.25,21,90
712.0,0.0,178.0,0.0,0.0,0.0,0.0,1231.0,178.0,0.0,30.2,21,28
561.2,140.3,210.5,0.0,259.6,0.0,0.0,820.8,164.2,156.0,17.5,200,28
1251.2,0.0,291.3,0.0,0.0,0.0,0.0,407.8,201.4,0.0,28.2,23,3
545.875,0.0,0.0,0.0,0.0,0.0,4.125,1754.0,165.0,0.0,6.6,21,3
